GI,GenBank Accession,UniProt Accession,UniProt Entry ID
,ABJ54352.1,A0A0H2ZP18,A0A0H2ZP18_STRP2
,ABJ54360.1,A0A0H2ZP19,A0A0H2ZP19_STRP2
,ABJ54629.1,A0A0H2ZP20,A0A0H2ZP20_STRP2
,ABJ54860.1,A0A0H2ZP23,A0A0H2ZP23_STRP2
,ABJ54365.1,A0A0H2ZP24,A0A0H2ZP24_STRP2
,ABJ54457.1,A0A0H2ZP26,A0A0H2ZP26_STRP2
,ABJ54866.1,A0A0H2ZP28,A0A0H2ZP28_STRP2
,ABJ54370.1,A0A0H2ZP29,A0A0H2ZP29_STRP2
,ABJ54463.1,A0A0H2ZP30,A0A0H2ZP30_STRP2
,ABJ54641.1,A0A0H2ZP31,A0A0H2ZP31_STRP2
,ABJ54470.1,A0A0H2ZP33,A0A0H2ZP33_STRP2
,ABJ54648.1,A0A0H2ZP35,A0A0H2ZP35_STRP2
,ABJ54476.1,A0A0H2ZP37,A0A0H2ZP37_STRP2
,ABJ54382.1,A0A0H2ZP38,A0A0H2ZP38_STRP2
,ABJ54993.1,A0A0H2ZP40,A0A0H2ZP40_STRP2
,ABJ54483.1,A0A0H2ZP41,A0A0H2ZP41_STRP2
,ABJ54387.1,A0A0H2ZP42,A0A0H2ZP42_STRP2
,ABJ54999.1,A0A0H2ZP43,A0A0H2ZP43_STRP2
,ABJ54393.1,A0A0H2ZP46,A0A0H2ZP46_STRP2
,ABJ54403.1,A0A0H2ZP51,A0A0H2ZP51_STRP2
,ABJ54502.1,A0A0H2ZP53,A0A0H2ZP53_STRP2
,ABJ54410.1,A0A0H2ZP54,A0A0H2ZP54_STRP2
,ABJ54871.1,A0A0H2ZP56,A0A0H2ZP56_STRP2
,ABJ54507.1,A0A0H2ZP59,A0A0H2ZP59_STRP2
,ABJ54876.1,A0A0H2ZP61,A0A0H2ZP61_STRP2
,ABJ55020.1,A0A0H2ZP62,A0A0H2ZP62_STRP2
,ABJ54421.1,A0A0H2ZP63,A0A0H2ZP63_STRP2
,ABJ54681.1,A0A0H2ZP64,A0A0H2ZP64_STRP2
,ABJ54883.1,A0A0H2ZP66,A0A0H2ZP66_STRP2
,ABJ55027.1,A0A0H2ZP67,A0A0H2ZP67_STRP2
,ABJ54426.1,A0A0H2ZP68,A0A0H2ZP68_STRP2
,ABJ54686.1,A0A0H2ZP70,A0A0H2ZP70_STRP2
,ABJ54520.1,A0A0H2ZP71,A0A0H2ZP71_STRP2
,ABJ55033.1,A0A0H2ZP72,A0A0H2ZP72_STRP2
,ABJ54431.1,A0A0H2ZP73,A0A0H2ZP73_STRP2
,ABJ54527.1,A0A0H2ZP75,A0A0H2ZP75_STRP2
,ABJ54691.1,A0A0H2ZP76,A0A0H2ZP76_STRP2
,ABJ55040.1,A0A0H2ZP77,A0A0H2ZP77_STRP2
,ABJ54437.1,A0A0H2ZP78,A0A0H2ZP78_STRP2
,ABJ54900.1,A0A0H2ZP79,A0A0H2ZP79_STRP2
,ABJ54533.1,A0A0H2ZP80,A0A0H2ZP80_STRP2
,ABJ54443.1,A0A0H2ZP82,A0A0H2ZP82_STRP2
,ABJ54699.1,A0A0H2ZP83,A0A0H2ZP83_STRP2
,ABJ54448.1,A0A0H2ZP85,A0A0H2ZP85_STRP2
,ABJ54913.1,A0A0H2ZP86,A0A0H2ZP86_STRP2
,ABJ55055.1,A0A0H2ZP88,A0A0H2ZP88_STRP2
,ABJ54704.1,A0A0H2ZP89,A0A0H2ZP89_STRP2
,ABJ54454.1,A0A0H2ZP90,A0A0H2ZP90_STRP2
,ABJ54920.1,A0A0H2ZP91,A0A0H2ZP91_STRP2
,ABJ54544.1,A0A0H2ZP93,A0A0H2ZP93_STRP2
,ABJ55062.1,A0A0H2ZP94,A0A0H2ZP94_STRP2
,ABJ54929.1,A0A0H2ZP95,A0A0H2ZP95_STRP2
,ABJ54459.1,A0A0H2ZP96,A0A0H2ZP96_STRP2
